title,top_1_name,top_2_name,top_3_name,top_4_name,top_5_name,top_1_score,top_2_score,top_3_score,top_4_score,top_5_score
Sinbad: Legend of the Seven Seas,The Little Prince,Stardust,The SpongeBob Movie: Sponge Out of Water,Ponyo,Harry Potter and the Half-Blood Prince,0.12689990289280734,0.12344461209802315,0.09955462877884669,0.09592509030113384,0.09306063080179107
Event Horizon,The Forest,Aliens,In the Valley of Elah,Supernova,Apollo 18,0.16063612553157697,0.13885454000345018,0.13423363534605326,0.1261706701422412,0.11635728671986537
Dragonfly,Patch Adams,Black or White,Anomalisa,Sleep Dealer,The Lake House,0.17501035201562207,0.1467972507440202,0.1303394383132796,0.12323425602876367,0.11794820493407827
The Black Dahlia,Get Rich or Die Tryin',Water & Power,The Replacement Killers,I Hope They Serve Beer in Hell,Rabbit Hole,0.08236037240352836,0.08130549713861665,0.0718617272103674,0.06875340073366512,0.06591826344901024
Flyboys,Stealth,Red Tails,Bloodsport,Rescue Dawn,Street Fighter: The Legend of Chun-Li,0.17821425925300494,0.15131065103307811,0.12432795596472827,0.12001507392143484,0.1107512323992154
The Last Castle,The Living Daylights,Civil Brand,The Longest Yard,Flight of the Intruder,Mean Streets,0.16949770908712955,0.13937348788685772,0.1316245538962533,0.119025999529549,0.10669130437129853
Supernova,Serenity,Ghost Ship,Event Horizon,The Hole,Alien,0.14794555444085478,0.1321779725934477,0.1261706701422412,0.11142596588306868,0.1106901258894798
Winter's Tale,Monte Carlo,Rabbit Hole,Florence Foster Jenkins,What Dreams May Come,April Fool's Day,0.11734737640140402,0.11483207843865519,0.10623159973472124,0.09457924768896821,0.09100837972758093
The Mortal Instruments: City of Bones,Epic,Hearts in Atlantis,Prince of Persia: The Sands of Time,Rise of the Guardians,Vamps,0.12144724535795867,0.09747655973083183,0.0916233917210102,0.0885284263886487,0.08595667001283999
Meet Dave,Aliens in the Attic,Journey to Saturn,King Kong,"Dude, Where’s My Car?",Independence Day: Resurgence,0.22860159552893372,0.19602475211477713,0.17630853869759394,0.17420899943317406,0.14830154275494917
Dark Water,House at the End of the Street,Tumbleweeds,Please Give,Fetching Cody,The Wailing,0.14782174971705947,0.1287122092734874,0.11817745082785829,0.11163580288411339,0.11054192515416222
Edtv,Good Dick,The Good Girl,Can't Stop the Music,Be Kind Rewind,Mr. Nice Guy,0.23353485994248163,0.16847984328034196,0.16392400451632966,0.16359509902920927,0.15324786316755565
Inkheart,Red Dog,Mr. Bean's Holiday,The NeverEnding Story,Journey to the Center of the Earth,The Last Airbender,0.16071566065758977,0.1583067655671167,0.14263012910382283,0.1305763998536952,0.12778708697728886
The Spirit,Defendor,The Son of No One,The Shadow,Training Day,The Toxic Avenger,0.12741330474043125,0.11989232770662,0.1119552176630379,0.10845476547060948,0.1072738854323789
Mortdecai,Three Kings,Into the Blue,The Edge,Fetching Cody,National Treasure,0.15902291347430408,0.1581963924035537,0.11242714709943742,0.09702425654426117,0.09501446397138216
In the Name of the King: A Dungeon Siege Tale,X-Men Origins: Wolverine,Changeling,The Punisher,Ransom,Django Unchained,0.14415749848777015,0.1294014687768303,0.1236222084479069,0.12079851395901234,0.12047421845653722
Beyond Borders,The Lovers,Must Love Dogs,The Tourist,The End of the Affair,Sarah's Key,0.14626953984848165,0.13792922586334733,0.12941404524730488,0.12631634425554877,0.11466448788287256
The Monkey King 2,The Forbidden Kingdom,Jungle Shuffle,Ironclad,Dragonslayer,Snow White and the Huntsman,0.1990100158571065,0.11764373235220195,0.11065530383825214,0.10871806445589424,0.10577339435498063
The Great Raid,Fury,The Great Escape,Enemy at the Gates,U-571,Fort McCoy,0.1925984274331,0.17701331798133932,0.16863642808339938,0.14479306233438188,0.13555570524281846
Deadpool,Shaft,Midnight Special,Night Watch,Mars Attacks!,Spider-Man 2,0.09148976120891407,0.08774898459035292,0.08694105258369925,0.08017364928865586,0.07695476600398302
Holy Man,The Best Little Whorehouse in Texas,Confessions of a Dangerous Mind,Elmer Gantry,Twilight Zone: The Movie,To Die For,0.2318349885779047,0.16548504351812454,0.15234026568477735,0.14069319094138294,0.13283373554234787
American Sniper,Stop-Loss,The Pacifier,Tears of the Sun,Little Boy,Rescue Dawn,0.13815064967168694,0.1097545770070728,0.09768725170178899,0.0878554097103023,0.08314532143025825
Goosebumps,It's Kind of a Funny Story,Imagine That,House at the End of the Street,Thumbsucker,Diary of the Dead,0.14538613228534764,0.13413187108196511,0.12020067678428244,0.11534281438905314,0.10433357665814876
Just Like Heaven,My Blueberry Nights,Jumper,The Descendants,Groove,The Other End of the Line,0.18642636985037234,0.14126307436202348,0.1342851425848278,0.11167971816666797,0.10807728456051494
The Flintstones in Viva Rock Vegas,The Flintstones,Hop,Hedwig and the Angry Inch,Elsa & Fred,The Cable Guy,0.14577299076905892,0.14160451239742264,0.10906428601521463,0.10782564332147387,0.09613839456049948
Rambo III,Rambo: First Blood Part II,First Blood,Apollo 18,Ant-Man,Max,0.2670302634516166,0.22250481780601875,0.06731528498316394,0.06059616355939085,0.060413045448107126
Leatherheads,The Express,We Are Marshall,The Game Plan,Gridiron Gang,Underdogs,0.19356048986220542,0.16168602123805392,0.15060355620299232,0.14263946921611484,0.1412651912715353
The Ridiculous 6,The Timber,The Man Who Shot Liberty Valance,Dumb and Dumber To,The Assassination of Jesse James by the Coward Robert Ford,Slow West,0.18059317755418003,0.1779403205618419,0.14486875834502527,0.12858962532449283,0.12609578200442587
Did You Hear About the Morgans?,The Whole Nine Yards,Charlie's Angels: Full Throttle,Hit & Run,Please Give,Some Like It Hot,0.31521041744014744,0.2464867660213565,0.19622143774600354,0.1386525433453159,0.13347181085714716
The Internship,The Way Way Back,Daddy Day Care,The Virginity Hit,Dry Spell,Hot Tub Time Machine 2,0.14885880723747488,0.14034169593110632,0.12033559313973585,0.10311271377546558,0.10239494186695498
Resident Evil: Afterlife,Resident Evil: Retribution,A Nightmare on Elm Street 5: The Dream Child,Lake Mungo,Resident Evil: Extinction,Navy Seals vs. Zombies,0.3669815080073592,0.22204331789861004,0.18264846805964943,0.17088255434580144,0.16606798230381836
Red Tails,Proud,The Railway Man,Flyboys,Restless,Stealth,0.4259913767465842,0.17239391669370988,0.15131065103307811,0.1479178777012115,0.14396015914968896
The Devil's Advocate,Race to Witch Mountain,Enemy of the State,House at the End of the Drive,The Timber,Thinner,0.15578797383774276,0.15161922542716738,0.14809875953137114,0.14647006639286403,0.1392938276806226
That's My Boy,Teen Wolf Too,The Cookout,Beerfest,Love Stinks,Delivery Man,0.24726170586283547,0.15929310597149612,0.12967737772992272,0.05824838515347373,0.05774162540065602
DragonHeart,Dragonslayer,Quest for Camelot,Jack the Giant Slayer,Harry Potter and the Prisoner of Azkaban,Eragon,0.13849401733041655,0.10502529432581559,0.09897523396658509,0.09285003864130237,0.08791376949535407
After the Sunset,Stan Helsing,Alvin and the Chipmunks: Chipwrecked,Miss Congeniality 2: Armed and Fabulous,The Crew,Deep Rising,0.21140512693182414,0.13394364272470458,0.13350632129699222,0.12097447089090044,0.11607985178012609
Ghost Rider: Spirit of Vengeance,Ghost Rider,Dune,Man on Fire,Savva. Heart of the Warrior,Slow West,0.21042155989313988,0.13081799560537838,0.10907452014383603,0.10314744869039769,0.09778153062283476
Captain Corelli's Mandolin,My Big Fat Greek Wedding,Mambo Italiano,My Life in Ruins,My Big Fat Greek Wedding 2,The American,0.32856584315880216,0.22321171847750368,0.17449148904129574,0.1647961884523787,0.13294780588114888
The Pacifier,Pay It Forward,Moms' Night Out,Return to Oz,Mad Hot Ballroom,Death at a Funeral,0.17246729771825986,0.16591387828006754,0.1448965636416926,0.14271462846450111,0.14048977097100018
Walking Tall,Don McKay,Young Adult,The Judge,Dead Man's Shoes,My Soul to Take,0.1831310079646824,0.17675006895273415,0.16660813585909615,0.15524130950994786,0.1547660866215794
Forrest Gump,Heaven is for Real,Niagara,The Shaggy Dog,Room,Love in the Time of Cholera,0.11914505780948666,0.11588155882630827,0.1042720683960287,0.10326207530864709,0.09814882958856228
Alvin and the Chipmunks,Alvin and the Chipmunks: The Squeakquel,Alvin and the Chipmunks: The Road Chip,Simon Birch,There's Always Woodstock,The Change-Up,0.3321683774784461,0.25973343298591967,0.1319725608706413,0.11627967248785881,0.09331687879221501
Meet the Parents,Little Fockers,Meet the Fockers,Diary of a Wimpy Kid: Dog Days,Me You and Five Bucks,Trippin',0.31841909313676986,0.24308862693571143,0.19835302849092978,0.13546751781303515,0.11572919318508232
Pocahontas,Harry Potter and the Prisoner of Azkaban,Legends of the Fall,The New World,About Time,Goldfinger,0.15110184184257477,0.15068285998469813,0.1453298630885939,0.13376090769402396,0.1232279389211334
Superman,Superman II,Superman Returns,Superman IV: The Quest for Peace,Central Intelligence,National Lampoon's Vacation,0.2670113070135931,0.21835554484779823,0.20694492897436556,0.14396822900756234,0.1269039840516103
The Nutty Professor,Nutty Professor II: The Klumps,Holy Man,Shallow Hal,Air Bud,Code 46,0.30579819804022795,0.09714544212815082,0.08277473167989265,0.07594651228600166,0.06791153068634115
Hitch,War Horse,Albert Nobbs,Fat Albert,Enough Said,The Roommate,0.1626544844800107,0.1616130088337997,0.14425978214717683,0.1251571577883338,0.12451815341099058
George of the Jungle,It's a Wonderful Life,Dead Like Me: Life After Death,Curious George,A Single Man,Funny People,0.16085303804890536,0.1506507354004919,0.14699258750414793,0.1313072450254983,0.1271863258754512
American Wedding,American Pie 2,The Man from Snowy River,American Reunion,Last Vegas,Project X,0.23051410441145906,0.1744800360831977,0.15413048573061416,0.15026035637446533,0.14932641842085706
Captain Phillips,The Iceman,The Rocket: The Legend of Rocket Richard,The Haunting in Connecticut 2: Ghosts of Georgia,The Fugitive,Proud,0.13609935284172575,0.0952876054187615,0.09014503071395762,0.0885006040620895,0.0877387535553007
Date Night,Central Intelligence,R100,All or Nothing,Identity Thief,Kicking & Screaming,0.12445320313074235,0.11471935975881158,0.11431938620963537,0.10436792773527472,0.09650504314787493
Casper,10 Things I Hate About You,The Wedding Date,The Haunted Mansion,The Haunting,Don't Be Afraid of the Dark,0.16679245087784028,0.13842015796965096,0.1030346825965091,0.0823897045801287,0.08065866556699716
The Equalizer,Love & Basketball,The Trouble with Harry,Fatal Attraction,Blue Ruin,Ip Man 3,0.08885864976356618,0.08014381767552185,0.06769287675505255,0.06369468550565793,0.0634845399357792
Maid in Manhattan,Joy,Hotel Transylvania 2,The Second Best Exotic Marigold Hotel,The Wendell Baker Story,The Hunt,0.11871257542890262,0.10647686156208219,0.10510624131453278,0.10116322351727862,0.09565165694295355
Crimson Tide,K-19: The Widowmaker,The Hunt for Red October,The Loss of Sexual Innocence,The Spy Who Loved Me,Rabbit Hole,0.16428995798601098,0.15341855842692873,0.1342750180955369,0.12554072477895642,0.107026218204989
The Pursuit of Happyness,Dutch Kills,Into the Wild,The Pet,White House Down,House of Sand and Fog,0.15540139044533102,0.0954937914471478,0.08796711596092147,0.08174807509763955,0.07685033259296833
Flightplan,Archaeology of a Woman,Stealing Harvard,House on Haunted Hill,Bridge of Spies,The Abyss,0.13843109849944255,0.11968907164781689,0.10144459372367329,0.08595915128300839,0.08360493031775684
Disclosure,The Lawnmower Man,Hackers,Eyes Wide Shut,North Country,The Loss of Sexual Innocence,0.1538665081540702,0.1432828511030039,0.12265094346457858,0.11922507666756113,0.11670356966007821
City of Angels,The Prophecy,On The Downlow,B-Girl,Crash,Kiss the Girls,0.14214945666556064,0.1266961933010958,0.1261116086567541,0.12016987750305153,0.1103734315611094
Kill Bill: Vol. 1,Kill Bill: Vol. 2,Killers,The Sentinel,Max Payne,Blue Ruin,0.12351047644675422,0.11262726254335127,0.11153103710682198,0.1071976528194245,0.09362889387356339
Bowfinger,Kit Kittredge: An American Girl,Silent Movie,A Beginner's Guide to Snuff,Cats Don't Dance,Disaster Movie,0.1359943073921834,0.12253873382611342,0.10814006223258874,0.10525122712062723,0.10299644306297263
